0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
5480 -5,457889E-09 0,003804386 -5,689935E-08

5500 -5,515115E-09 0,003844738 -4,925687E-08

5520 -5,530711E-09 0,003877878 -4,091555E-08

5540 -5,537541E-09 0,003905058 -3,013236E-08

5560 -5,54943E-09 0,0039258 -2,071158E-08

5580 -5,548913E-09 0,003941715 -9,561973E-09

5600 -5,528354E-09 0,003952563 -6,416485E-10

5620 -5,521157E-09 0,003959596 8,381448E-09

5640 -4,629026E-09 0,003963232 1,659555E-08

5660 -4,53576E-09 0,003964126 2,357092E-08

5680 -4,398324E-09 0,003962815 2,922297E-08

5700 -4,252868E-09 0,003959775 3,359401E-08

5720 -4,106576E-09 0,003955483 3,686546E-08

5740 -3,980504E-09 0,003950298 3,895229E-08

5760 -3,870991E-09 0,003944576 4,001458E-08

5780 -3,780411E-09 0,003938675 4,031881E-08

5800 -3,695622E-09 0,003932714 3,982223E-08

5820 -3,627461E-09 0,003926933 3,860714E-08

5840 -3,572602E-09 0,003921449 3,671857E-08

5860 -3,528463E-09 0,003916383 3,460764E-08

5880 -3,499726E-09 0,003911734 3,205696E-08

5900 -3,483937E-09 0,003907621 2,930983E-08

5920 -3,478151E-09 0,003904045 2,643219E-08

5940 -3,480304E-09 0,003901005 2,371689E-08

5960 -3,492366E-09 0,003898442 2,106708E-08

5980 -3,506515E-09 0,003896415 1,838907E-08

6000 -3,528192E-09 0,003894806 1,600301E-08

6020 -3,550289E-09 0,003893554 1,384933E-08

6040 -3,575463E-09 0,003892899 1,290209E-08

6060 -3,610263E-09 0,003892064 1,023727E-08

6080 -3,650685E-09 0,003891945 9,815722E-09

6100 -3,678408E-09 0,003891647 7,755943E-09

6120 -3,703031E-09 0,003891945 7,74935E-09

6140 -3,727681E-09 0,003891885 6,008122E-09

6160 -3,750066E-09 0,003892422 6,550863E-09

6180 -3,767595E-09 0,003892541 5,437187E-09

6200 -3,788684E-09 0,003893197 6,301661E-09

6220 -3,800572E-09 0,003893375 5,351694E-09

6240 -3,811789E-09 0,003894031 6,35805E-09

6260 -3,819833E-09 0,00389421 5,681386E-09

6280 -3,827081E-09 0,003894806 6,981281E-09

6300 -3,832294E-09 0,003894925 6,409209E-09

6320 -3,832054E-09 0,003895521 7,783001E-09

6340 -3,832906E-09 0,00389564 7,348262E-09

6360 -3,833303E-09 0,003896177 8,743427E-09

6380 -3,832016E-09 0,003896177 8,164079E-09

6400 -3,836234E-09 0,003896594 9,560608E-09

6420 -3,85047E-09 0,003896475 9,095402E-09

6440 -3,86024E-09 0,003896832 1,044737E-08

6460 -3,859735E-09 0,003896654 9,78207E-09

6480 -3,852672E-09 0,003897011 1,101398E-08

6500 -3,846361E-09 0,003896832 1,036778E-08

6520 -3,838793E-09 0,00389713 1,161197E-08

6540 -3,832615E-09 0,003896892 1,084027E-08

6560 -3,823152E-09 0,00389713 1,184981E-08

6580 -3,815108E-09 0,003896892 1,091621E-08

6600 -3,80911E-09 0,00389713 1,185435E-08

6620 -3,803372E-09 0,003896892 1,108629E-08

6640 -3,797448E-09 0,00389713 1,194076E-08

6660 -3,791599E-09 0,003896832 1,105218E-08

6680 -3,785447E-09 0,003897011 1,206217E-08

6700 -3,779772E-09 0,003896773 1,105491E-08

6720 -3,775378E-09 0,003896952 1,187391E-08

6740 -3,773467E-09 0,003896654 1,095987E-08

6760 -3,769673E-09 0,003896892 1,195758E-08

6780 -3,769321E-09 0,003896654 1,104263E-08

6800 -3,770127E-09 0,003896892 1,194576E-08

6820 -3,769557E-09 0,003896594 1,098761E-08

6840 -3,769442E-09 0,003896832 1,184708E-08

6860 -3,770521E-09 0,003896594 1,09012E-08

6880 -3,776575E-09 0,003896832 1,17584E-08

6900 -3,778893E-09 0,003896594 1,0843E-08

6920 -3,781389E-09 0,003896832 1,169064E-08

6940 -3,784256E-09 0,003896594 1,07193E-08

6960 -3,787E-09 0,003896832 1,161652E-08

6980 -3,79206E-09 0,003896594 1,064564E-08

7000 -3,795392E-09 0,003896832 1,165927E-08

7020 -3,798673E-09 0,003896594 1,070111E-08

7040 -3,801988E-09 0,003896832 1,155331E-08

7060 -3,8052E-09 0,003896594 1,062972E-08

7080 -3,807703E-09 0,003896832 1,161743E-08

7100 -3,810067E-09 0,003896594 1,068565E-08

7120 -3,812382E-09 0,003896832 1,169292E-08

7140 -3,814645E-09 0,003896594 1,074204E-08

7160 -3,816407E-09 0,003896832 1,170156E-08

7180 -3,817242E-09 0,003896594 1,087301E-08

7200 -3,816316E-09 0,003896832 1,19162E-08

7220 -3,814242E-09 0,003896594 1,102944E-08

7240 -3,811216E-09 0,003896832 1,206627E-08

7260 -3,807752E-09 0,003896534 1,104536E-08

7280 -3,801441E-09 0,003896773 1,197577E-08

7300 -3,796993E-09 0,003896534 1,105991E-08

7320 -3,792681E-09 0,003896773 1,202352E-08

7340 -3,788446E-09 0,003896534 1,11545E-08

7360 -3,784236E-09 0,003896773 1,21654E-08

7380 -3,78009E-09 0,003896534 1,133731E-08

7400 -3,775965E-09 0,003896773 1,214903E-08

7420 -3,77926E-09 0,003896534 1,129956E-08

7440 -3,786767E-09 0,003896773 1,218768E-08

7460 -3,785064E-09 0,003896534 1,12318E-08

7480 -3,789328E-09 0,003896773 1,209401E-08

7500 -3,7977E-09 0,003896534 1,121407E-08

7520 -3,796801E-09 0,003896773 1,220269E-08

7540 -3,804325E-09 0,003896534 1,13414E-08

7560 -3,811354E-09 0,003896773 1,225999E-08

7580 -3,811128E-09 0,003896534 1,13223E-08

7600 -3,809672E-09 0,003896773 1,225726E-08

7620 -3,808148E-09 0,003896534 1,135322E-08

7640 -3,806633E-09 0,003896773 1,232183E-08

7660 -3,800088E-09 0,003896534 1,139279E-08

7680 -3,74234E-09 0,003896058 0,0003838919

7700 -4,305046E-09 0,003890753 0,00178358

7720 -5,609578E-09 0,003876925 0,004558963

7740 -6,079647E-09 0,003852338 0,008419337

7760 -9,334662E-09 0,003817737 0,01328608

7780 -8,017642E-09 0,003773987 0,01913518

7800 -9,909924E-09 0,003722638 0,0259469

7820 -1,189638E-08 0,003665388 0,03370608

7840 -1,390856E-08 0,003604174 0,04240156

7860 -1,661599E-08 0,003540933 0,05204453

7880 -2,546808E-08 0,003476858 0,06308647

7900 -1,197306E-08 0,003413051 0,07417532

7920 -3,317702E-08 0,003356487 0,08562811

7940 -4,121902E-08 0,003309846 0,09701543

7960 -2,358478E-08 0,003275752 0,1086638

7980 -6,080137E-09 0,003255665 0,1205175

8000 1,753586E-08 0,003248692 0,1322036

8020 3,099498E-08 0,003256232 0,1438449

8040 5,092376E-08 0,00327754 0,1554603

8060 6,319222E-08 0,003311038 0,1670619

8080 8,229524E-08 0,003354758 0,1786598

8100 9,961808E-08 0,003406286 0,1902619

8120 1,166288E-07 0,003463924 0,2018744

8140 1,404715E-07 0,003525138 0,2135019

8160 1,566206E-07 0,003587753 0,2251476

8180 1,731956E-07 0,003650069 0,2368135

8200 1,897927E-07 0,003710479 0,2485005

8220 2,085964E-07 0,003767312 0,2602089

8240 2,268211E-07 0,003819644 0,2719381

8260 2,486331E-07 0,003866673 0,2836871

8280 2,700885E-07 0,0039078 0,2954545

8300 2,881002E-07 0,003942847 0,3072385

8320 3,090656E-07 0,003971696 0,3190374

8340 3,278303E-07 0,003994644 0,3308492

8360 3,475197E-07 0,004011691 0,342672

8380 3,70483E-07 0,004023135 0,3545038

8400 3,882776E-07 0,00402993 0,3663431

8420 4,093008E-07 0,004032612 0,378188

8440 4,30393E-07 0,004031301 0,390037

8460 4,514935E-07 0,004026651 0,4018888

8480 4,720366E-07 0,004019797 0,4137422

8500 4,93018E-07 0,004010916 0,4255961

8520 5,140828E-07 0,004000664 0,4374498

8540 5,342823E-07 0,003989518 0,4493023

8560 5,504932E-07 0,003977835 0,4611533

8580 5,703649E-07 0,003965616 0,4731104

8600 5,937889E-07 0,003952265 0,4856601

8620 6,147736E-07 0,003934562 0,4989526

8640 6,37751E-07 0,003910184 0,5134774

8660 6,627453E-07 0,003875226 0,5296565

8680 6,911426E-07 0,003826827 0,5477548

