0 1,924112E-06 1,298075E-09 -8,397331E-10 1
424 -4,619359E-07 1,299263E-09 -9,596559E-10 1

425 -4,637986E-07 1,299274E-09 -9,61619E-10 1

426 -4,656612E-07 1,299281E-09 -9,636173E-10 1

427 -4,675239E-07 1,299286E-09 -9,656403E-10 1

428 -4,693865E-07 1,299292E-09 -9,676842E-10 1

429 -4,712492E-07 1,299297E-09 -9,697473E-10 1

430 -4,731118E-07 1,299303E-09 -9,718295E-10 1

431 -4,749745E-07 1,299308E-09 -9,739304E-10 1

432 -4,768371E-07 1,299313E-09 -9,760499E-10 1

433 -4,786997E-07 1,299319E-09 -9,781882E-10 1

434 -4,805624E-07 1,299324E-09 -9,803452E-10 1

435 -4,82425E-07 1,299329E-09 -9,825208E-10 1

436 -4,82425E-07 1,299334E-09 -9,84715E-10 1

437 -4,82425E-07 1,29934E-09 -9,869279E-10 1

438 -4,82425E-07 1,299345E-09 -9,891594E-10 1

439 -4,82425E-07 1,299351E-09 -9,914096E-10 1

440 -4,82425E-07 1,299356E-09 -9,936784E-10 1

441 -4,82425E-07 1,299361E-09 -9,959659E-10 1

442 -4,82425E-07 1,299367E-09 -9,982719E-10 1

443 -4,82425E-07 1,299372E-09 -1,000597E-09 1

444 -4,82425E-07 1,299377E-09 -1,00294E-09 1

445 -4,82425E-07 1,299383E-09 -1,005302E-09 1

446 -4,82425E-07 1,299388E-09 -1,007683E-09 1

447 -4,82425E-07 1,299393E-09 -1,010082E-09 1

448 -4,82425E-07 1,299399E-09 -1,0125E-09 1

449 -4,82425E-07 1,299404E-09 -1,014936E-09 1

450 -4,82425E-07 1,299409E-09 -1,017392E-09 1

451 -4,82425E-07 1,299415E-09 -1,019865E-09 1

452 -4,82425E-07 1,29942E-09 -1,022358E-09 1

453 -4,82425E-07 1,299425E-09 -1,024869E-09 1

454 -4,82425E-07 1,299431E-09 -1,027399E-09 1

455 -4,82425E-07 1,299436E-09 -1,029947E-09 1

