0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
7000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

7980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

